"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"exp_label","pre 1","1-1","post 1-1","1-2","post 1-2","pre 2","2-1","2-2","2-3","2-4","2-5","post 2"
"MARG_allDay_total_peak","0.8836099","0.9122864","1.2234373","1.2725905","0.8556834","1.3216637","1.0372222","1.4252683","1.3738594","1.1632377","1.7329821","1.7878028"
"MARG_allDay_total_avg","0.6662339","0.5611257","0.7755001","0.6257158","0.6181438","0.8495596","0.7774886","0.9243852","0.9259432","0.8835998","1.1219836","1.1859376"
"MARG_allDay_total_base","0.4093796","0.3247626","0.4368677","0.2585021","0.3659904","0.4391687","0.5252315","0.5637805","0.6054286","0.6247143","0.6711250","0.7214966"
"MARG_allDay_total_woHVAC_peak","0.8001900","0.6570125","0.8132459","0.6944032","0.7406015","0.8136154","0.9148981","0.9499756","0.9661390","1.0799190","1.0507143","1.0433057"
"MARG_allDay_total_woHVAC_avg","0.6305403","0.4851404","0.6204369","0.4709499","0.5589921","0.6314544","0.7325270","0.7695530","0.7948541","0.8523980","0.8681342","0.8604457"
"MARG_allDay_total_woHVAC_base","0.4002521","0.3155015","0.4234551","0.2485874","0.3551588","0.4257573","0.5149352","0.5516341","0.5944762","0.6140238","0.6560357","0.6769715"
"MARG_allDay_total_woETC_peak","0.7878177","0.8300691","1.1559603","1.2170334","0.7862230","1.2339902","0.9312315","1.3297805","1.2648142","1.0359759","1.5928393","1.6272243"
"MARG_allDay_total_woETC_avg","0.5757224","0.4936223","0.7115420","0.5825660","0.5553313","0.7676291","0.6767916","0.8323013","0.8231881","0.7771317","0.9931566","1.0223280"
"MARG_allDay_total_woETC_base","0.3243948","0.2750913","0.3825061","0.2245541","0.3115355","0.3671441","0.4325370","0.4807195","0.5114762","0.5390810","0.5547321","0.5662442"
"MARG_allDay_computer_peak","0.4586782","0.4595480","0.5144829","0.3999748","0.4527340","0.4752612","0.5540926","0.6040732","0.6200613","0.6783374","0.6747679","0.6205935"
"MARG_allDay_computer_avg","0.3778389","0.3542634","0.4166120","0.2799939","0.3565501","0.3926713","0.4734347","0.5133314","0.5425164","0.5900421","0.5824484","0.5305861"
"MARG_allDay_computer_base","0.3052812","0.2657652","0.3345611","0.1815713","0.2732994","0.3253890","0.4066389","0.4388902","0.4799286","0.5094571","0.4959464","0.4542670"
"MARG_allDay_light_peak","0.2579291","0.1446609","0.2484207","0.2695187","0.2349850","0.2681444","0.2741759","0.2618254","0.2432857","0.2462315","0.2529643","0.2570932"
"MARG_allDay_light_avg","0.16218997","0.06337363","0.13986690","0.14780620","0.13954178","0.15685258","0.15839525","0.16413772","0.14958255","0.13578196","0.15685883","0.16624997"
"MARG_allDay_light_base","0.007396919","0.000000000","0.022838817","0.027794357","0.021731116","0.020467970","0.011287037","0.023768293","0.013666667","0.004042857","0.027071429","0.048875401"
"MARG_allDay_hvac_peak","0.09166240","0.29633943","0.47908508","0.61464186","0.11586298","0.54902554","0.14003704","0.53229268","0.45342857","0.09753994","0.78294643","0.89708470"
"MARG_allDay_hvac_avg","0.03569355","0.07598524","0.15506317","0.15476586","0.05915175","0.21810524","0.04496163","0.15483224","0.13108916","0.03120177","0.25384945","0.32549192"
"MARG_allDay_hvac_base","0.008993903","0.009011286","0.008788467","0.009878357","0.009897606","0.009976879","0.009972222","0.010000000","0.009976190","0.009976190","0.009964286","0.009514441"
"MARG_workingday_total_peak","0.9381089","0.8953824","1.2705793","0.9143839","0.9148286","1.4753309","1.1524324","1.4061296","1.4870364","1.2577347","1.8504474","1.8127163"
"MARG_workingday_total_avg","0.7037912","0.5864260","0.8031354","0.6083768","0.6774119","0.9584984","0.8532940","0.9648550","0.9836581","0.9583976","1.1795559","1.2000042"
"MARG_workingday_total_base","0.4181886","0.3265720","0.4492614","0.2673105","0.3887211","0.4543519","0.5349865","0.5815926","0.5989000","0.6376985","0.6907632","0.7376589"
"MARG_workingday_total_woHVAC_peak","0.8467420","0.7375572","0.8747204","0.7592627","0.8245907","0.8999849","1.0072568","1.0582778","1.0553945","1.1950221","1.1513947","1.1174497"
"MARG_workingday_total_woHVAC_avg","0.6729023","0.5318200","0.6631992","0.5142929","0.6247370","0.6936120","0.7999980","0.8485893","0.8486770","0.9289038","0.9320371","0.9034224"
"MARG_workingday_total_woHVAC_base","0.4090599","0.3173744","0.4343213","0.2573899","0.3776027","0.4395387","0.5246486","0.5685000","0.5875667","0.6272647","0.6757895","0.6854020"
"MARG_workingday_total_woETC_peak","0.8430497","0.8070987","1.1988325","0.8533668","0.8414978","1.3859563","1.0434865","1.3082593","1.3774398","1.1202937","1.7022895","1.6487167"
"MARG_workingday_total_woETC_avg","0.6141265","0.5149249","0.7354931","0.5627999","0.6121606","0.8753465","0.7509627","0.8705039","0.8799772","0.8476207","1.0411579","1.0312396"
"MARG_workingday_total_woETC_base","0.3339127","0.2745809","0.3928173","0.2380852","0.3322898","0.3811251","0.4412568","0.4962963","0.5032667","0.5511324","0.5724211","0.5793133"
"MARG_workingday_computer_peak","0.5048359","0.5111241","0.5600308","0.4476945","0.5144363","0.5243397","0.6039189","0.6676667","0.6607858","0.7420504","0.7208158","0.6497254"
"MARG_workingday_computer_avg","0.4033399","0.3785342","0.4373146","0.2988111","0.3915717","0.4179092","0.4965610","0.5467374","0.5596945","0.6269875","0.6077041","0.5353214"
"MARG_workingday_computer_base","0.3108507","0.2653227","0.3341793","0.1853601","0.2848150","0.3306615","0.4084865","0.4476852","0.4776000","0.5187794","0.5080263","0.4377143"
"MARG_workingday_light_peak","0.2631000","0.1782280","0.2638838","0.2923708","0.2596709","0.3087686","0.3178243","0.3086423","0.2923000","0.2865927","0.2924474","0.2938504"
"MARG_workingday_light_avg","0.17989774","0.08178464","0.15824234","0.16990491","0.16778632","0.19255086","0.20110586","0.20750079","0.18530168","0.17238314","0.18593505","0.19933629"
"MARG_workingday_light_base","0.010919262","0.000000000","0.028695864","0.038912100","0.028168449","0.025146902","0.016472973","0.028907407","0.006466667","0.006242647","0.026157895","0.065482157"
"MARG_workingday_hvac_peak","0.09733721","0.22116340","0.48340711","0.19603590","0.09112133","0.62174625","0.17344595","0.41648148","0.49440000","0.07604697","0.81994737","0.88772242"
"MARG_workingday_hvac_avg","0.03088885","0.05460608","0.13993623","0.09408391","0.05267495","0.26488643","0.05329592","0.11626569","0.13498107","0.02949378","0.24751882","0.29658182"
"MARG_workingday_hvac_base","0.008981262","0.008985400","0.008699682","0.009878100","0.009900471","0.009977389","0.009959459","0.010000000","0.009966667","0.009970588","0.009947368","0.009443528"
"MARG_non_workingday_total_peak","0.7691621","0.9545463","1.0937969","2.1681070","0.7259456","0.9770765","0.7864706","1.4621786","1.0909167","0.9895676","1.4850000","1.7266513"
"MARG_non_workingday_total_avg","0.5873636","0.4978748","0.6995029","0.6690632","0.4881364","0.6052726","0.6125006","0.8463363","0.7816562","0.7461335","1.0004421","1.1514105"
"MARG_non_workingday_total_base","0.3908806","0.3202390","0.4027852","0.2364810","0.3161294","0.4051216","0.5040000","0.5294286","0.6217500","0.6008514","0.6296667","0.6818255"
"MARG_non_workingday_total_woHVAC_peak","0.7024308","0.4556507","0.6441911","0.5322545","0.5563671","0.6199383","0.7138824","0.7411071","0.7430000","0.8683784","0.8381667","0.8613157"
"MARG_non_workingday_total_woHVAC_avg","0.5415801","0.3684416","0.5028407","0.3625925","0.4147775","0.4920707","0.5856783","0.6171257","0.6602969","0.7117928","0.7332280","0.7549574"
"MARG_non_workingday_total_woHVAC_base","0.3817558","0.3108192","0.3935729","0.2265813","0.3059271","0.3948537","0.4937941","0.5191071","0.6117500","0.5896892","0.6143333","0.6562786"
"MARG_non_workingday_total_woETC_peak","0.6718304","0.8874953","1.0380618","2.1261998","0.6649749","0.8932178","0.6869118","1.3712857","0.9832500","0.8810135","1.3617778","1.5744705"
"MARG_non_workingday_total_woETC_avg","0.4950738","0.4403658","0.6456765","0.6319812","0.4306734","0.5260810","0.5153603","0.7586250","0.6812153","0.6475843","0.8918206","1.0004543"
"MARG_non_workingday_total_woETC_base","0.3044072","0.2763672","0.3541503","0.1907265","0.2660100","0.3357928","0.4135588","0.4506786","0.5320000","0.5169324","0.5173889","0.5341655"
