id,joined,leaved
1,1444720714768,1444720715972
0,1444720711483,1444720730933
2,1444720726151,1444720728301
3,1444720731210,1444720731602
4,1444720734679,1444720735993
5,1444720735407,1444720736060
6,1444720758950,1444720759704
7,1444720785262,1444720787770
8,1444720804215,1444720806249
9,1444720806512,1444720818395
10,1444720828597,1444720829325
11,1444720833336,1444720834206
12,1444720838996,1444720845770
14,1444720845770,1444720846967
15,1444720845770,1444720848082
16,1444720849179,1444720862237
17,1444720853796,1444720861862
18,1444720857020,1444720862150
20,1444720862430,1444720862720
13,1444720842495,1444720857020
19,1444720862430,1444720903182
21,1444720862801,1444720903165
22,1444720919724,1444720923472
23,1444720924246,1444720925002
24,1444720926981,1444720931232
25,1444720931397,1444720932849
26,1444720933402,1444720936630
27,1444720934673,1444720936150
28,1444720936678,1444720949571
29,1444720941645,1444720952268
30,1444720951968,1444720959359
32,1444720962733,1444720977963
34,1444720982798,1444721015551
35,1444721017136,1444721017780
33,1444720964370,1444721018236
36,1444721021508,1444721022601
38,1444721028164,1444721028438
31,1444720955235,1444721031049
37,1444721023699,1444721049509
40,1444721051808,1444721059337
41,1444721057741,1444721060729
42,1444721067119,1444721068131
43,1444721070390,1444721072578
44,1444721078060,1444721078204
39,1444721031647,1444721092721
45,1444721081359,1444721087524
46,1444721125475,1444721131295
47,1444721126419,1444721131837
54,1444721148470,1444721174235
55,1444721174267,1444721178062
57,1444721179314,1444721179384
53,1444721147337,1444721198808
56,1444721178062,1444721193954
58,1444721185665,1444721190439
59,1444721346036,1444721346899
65,1444724358513,1444724360839
66,1444724363192,1444724363828
67,1444725414297,1444725416788
68,1444725426082,1444725450172
69,1444725453295,1444725467891
70,1444725478690,1444725480369
71,1444725504991,1444725505020
72,1444725505166,1444725505923
73,1444725513916,1444725514105
76,1444728504643,1444728504925
77,1444728976174,1444728977072
79,1444729877278,1444729878193
80,1444729893013,1444729893048
81,1444729901855,1444729905555
82,1444729908945,1444729913427
83,1444729913742,1444729920045
84,1444729919769,1444729923075
85,1444729925956,1444729928175
86,1444729929428,1444729937222
87,1444729941025,1444729966390
88,1444729970159,1444729974632
89,1444729991058,1444729994068
90,1444730061106,1444730062585
91,1444730766824,1444730767581
92,1444731028636,1444731029358
93,1444731153387,1444731156641
94,1444731537507,1444731537551
95,1444735137632,1444735138792
96,1444735382288,1444735397577
97,1444735531037,1444735531363
98,1444735531713,1444735531886
99,1444735533024,1444735535749
100,1444735540632,1444735548212
101,1444735554086,1444735594427
102,1444735600579,1444735602951
103,1444736789385,1444736789505
104,1444739237794,1444739238829
105,1444739393303,1444739394051
106,1444739911082,1444739911789
107,1444739930191,1444739930248
108,1444739979445,1444739979725
110,1444741282446,1444741287179
111,1444741294341,1444741297613
112,1444741305093,1444741307093
113,1444741313338,1444741317880
114,1444741389793,1444741391462
115,1444743034898,1444743035392
116,1444743630159,1444743630427
117,1444747456539,1444747457692
120,1444748110277,1444748111319
121,1444748133068,1444748133638
122,1444748614393,1444748614437
123,1444749038093,1444749051347
128,1444751284721,1444751284865
244,1444752309485,1444752311477
795,1444768973294,1444768973352
796,1444770009331,1444770009388
797,1444772139020,1444772139081
800,1444772277225,1444772277283
801,1444772481043,1444772481165
802,1444772497358,1444772497411
803,1444781423605,1444781429644
804,1444784378998,1444784379043
805,1444784954793,1444784961342
806,1444786410515,1444786411385
807,1444786880359,1444786882133
808,1444789070393,1444789071510
809,1444789377809,1444789377875
810,1444792554569,1444792554715
811,1444792630963,1444792631012
812,1444792674366,1444792677766
813,1444792679267,1444792681595
814,1444793145836,1444793146589
815,1444793164436,1444793164820
816,1444794311425,1444794311478
817,1444794358085,1444794358844
818,1444794362188,1444794362200
819,1444794369286,1444794385542
820,1444794397219,1444794398154
821,1444794402690,1444794403553
822,1444794408892,1444794408922
823,1444794419938,1444794419974
824,1444794469886,1444794470208
825,1444794471890,1444794472071
826,1444794477731,1444794479736
827,1444794495058,1444794497231
829,1444794550658,1444794551230
828,1444794540646,1444794566218
830,1444794569775,1444794584596
832,1444794593945,1444794595976
831,1444794589932,1444794591596
833,1444794594710,1444794623942
834,1444794627745,1444794632000
835,1444795046764,1444795047142
836,1444797112461,1444797112826
837,1444797184759,1444797185036
838,1444797190409,1444797190543
839,1444797190804,1444797191091
840,1444797216876,1444797217202
841,1444797217471,1444797217780
842,1444797599064,1444797599186
843,1444798371743,1444798372720
844,1444798375218,1444798376458
845,1444798408442,1444798408482
846,1444798408794,1444798409223
847,1444798501057,1444798501593
848,1444798793134,1444798794230
849,1444798868989,1444798869701
850,1444799009727,1444799010307
851,1444799133159,1444799133623
853,1444799950798,1444799950907
855,1444800442142,1444800442851
856,1444801374764,1444801375591
857,1444801396638,1444801397288
860,1444802876372,1444802877118
861,1444803761579,1444803762335
862,1444803943899,1444803944949
863,1444804105807,1444804106542
864,1444804116747,1444804118235
870,1444804291673,1444804293418
883,1444805092096,1444805092152
884,1444805101568,1444805104121
885,1444805106501,1444805118308
886,1444805117066,1444805118371
887,1444805118421,1444805130698
888,1444805736003,1444805736725
889,1444806107951,1444806109033
890,1444806111346,1444806111734
891,1444806193392,1444806193785
892,1444807889067,1444807889283
894,1444809613571,1444809614936
895,1444809906457,1444809907774
896,1444810724073,1444810725231
897,1444812714264,1444812715490
898,1444812836346,1444812837358
899,1444812876110,1444812876598
900,1444813284193,1444813285239
901,1444813324138,1444813325096
903,1444813410244,1444813410281
904,1444813453609,1444813454372
905,1444813482973,1444813484255
906,1444813869506,1444813869532
908,1444814892920,1444814893890
909,1444818579234,1444818582647
910,1444819203414,1444819203986
911,1444819739670,1444819740453
912,1444819775800,1444819776772
913,1444822016193,1444822016880
914,1444823687346,1444823688796
915,1444823732977,1444823733539
916,1444824531941,1444824538627
917,1444824551256,1444824551840
918,1444824663060,1444824663734
919,1444824709913,1444824710632
920,1444826542582,1444826544220
921,1444827253624,1444827254044
923,1444828628650,1444828633450
924,1444828638385,1444828644361
925,1444828855791,1444828856390
926,1444828856030,1444828856390
927,1444830092261,1444830098536
929,1444832230974,1444832235040
930,1444832237693,1444832241824
931,1444832357864,1444832358146
932,1444833081325,1444833081408
933,1444836657295,1444836662336
934,1444840068988,1444840069451
935,1444843952562,1444843952603
936,1444845139662,1444845141002
937,1444845282606,1444845283687
938,1444855383360,1444855383412
939,1444855718849,1444855719195
940,1444855733788,1444855736768
942,1444870015630,1444870016360
943,1444873618616,1444873618962
944,1444873946246,1444873946276
946,1444874022490,1444874022823
947,1444874067863,1444874071350
948,1444874071984,1444874077908
949,1444874077066,1444874087613
952,1444874079078,1444874085085
953,1444874192145,1444874192308
954,1444874732774,1444874733494
955,1444874733533,1444874736666
956,1444874865842,1444874867017
957,1444874927780,1444874927931
958,1444874955320,1444874955350
959,1444879312705,1444879313314
960,1444879371047,1444879371627
973,1444879427403,1444879428585
974,1444879459344,1444879459726
975,1444879463895,1444879467308
976,1444884263966,1444884264004
977,1444884264162,1444884264187
978,1444884810780,1444884825069
979,1444884887148,1444884887425
980,1444884906851,1444884907069
981,1444884907033,1444884907667
982,1444885014423,1444885014836
983,1444885037987,1444885038690
984,1444885284304,1444885285268
985,1444885469111,1444885469538
986,1444885629121,1444885629662
987,1444885875456,1444885875669
988,1444886477332,1444886477942
989,1444887029845,1444887030636
990,1444887208894,1444887209182
991,1444887209625,1444887209760
994,1444889278054,1444889279462
995,1444889622069,1444889623267
1038,1444890160335,1444890160432
1039,1444890976300,1444890977267
1040,1444891053421,1444891054435
1041,1444891335357,1444891336108
1042,1444891749841,1444891750163
1043,1444891772494,1444891773064
1044,1444891843605,1444891844182
1045,1444891980906,1444891981913
1046,1444892069708,1444892070017
1047,1444892870348,1444892870958
1048,1444893349529,1444893349929
1049,1444893350445,1444893350691
1051,1444894126654,1444894127523
1053,1444896226688,1444896227574
1054,1444896286558,1444896286590
1055,1444896287284,1444896287645
1056,1444896293375,1444896297046
1057,1444896298858,1444896299488
1058,1444896306466,1444896306599
1059,1444896311033,1444896353555
1060,1444896374110,1444896485957
1061,1444896563700,1444896564491
1062,1444896604923,1444896651362
1063,1444896646403,1444896648087
1064,1444896653916,1444896684978
1065,1444896688978,1444896721662
1066,1444896751810,1444896938354
1067,1444896940410,1444896956808
1068,1444896971215,1444896988804
1069,1444896992356,1444896994222
1070,1444897001641,1444897008497
1071,1444897018601,1444897042633
1072,1444897046866,1444897052711
0,1444897204882,1444897325540
1,1444897327771,1444897328172
2,1444897344023,1444897345302
3,1444897795582,1444897802231
4,1444897825167,1444897825540
5,1444897837587,1444897862690
6,1444897866343,1444897887305
7,1444897890115,1444897892119
8,1444897892640,1444897893021
9,1444898760223,1444898764290
10,1444898765760,1444898765971
11,1444898771413,1444898775276
12,1444898779861,1444898784039
13,1444898789775,1444898796237
14,1444899528466,1444899529495
15,1444899596507,1444899598682
16,1444899973919,1444899976060
17,1444900056620,1444900056945
18,1444900061923,1444900062454
19,1444900473546,1444900473656
20,1444900473741,1444900473903
21,1444901338969,1444901339468
22,1444901339886,1444901340088
23,1444901582768,1444901592704
24,1444901594536,1444901595390
25,1444901596583,1444901597657
26,1444901606048,1444901616186
27,1444901622397,1444901630149
28,1444901630637,1444901631935
29,1444901633033,1444901633425
30,1444901634128,1444901637921
31,1444901936787,1444901937023
32,1444902377712,1444902378297
33,1444902442495,1444902442569
34,1444902451804,1444902451832
35,1444904330231,1444904330662
36,1444907171476,1444907172139
37,1444909233613,1444909234474
38,1444909281014,1444909281582
39,1444909550152,1444909550549
40,1444909763454,1444909763709
41,1444909774438,1444909775246
42,1444910972348,1444910972864
44,1444922480959,1444922481013
45,1444922880437,1444922885917
46,1444922891026,1444922892466
47,1444922895386,1444922895761
48,1444922941334,1444922941446
49,1444924355107,1444924355481
51,1444925075640,1444925085242
52,1444927515435,1444927516525
53,1444927526379,1444927527311
62,1444957166793,1444957167113
64,1444957497421,1444957497451
63,1444957497047,1444957497119
65,1444957514230,1444957514519
66,1444958189953,1444958189985
67,1444958190121,1444958190249
68,1444958680200,1444958680242
69,1444959105841,1444959106722
70,1444959311484,1444959312166
71,1444960944969,1444960945364
72,1444960953548,1444960954451
73,1444961497988,1444961498798
74,1444961862260,1444961864034
75,1444962049401,1444962049788
76,1444962060912,1444962061081
77,1444962283561,1444962283701
78,1444962850054,1444962850317
80,1444963210682,1444963210706
79,1444963203568,1444963205454
81,1444963304945,1444963306318
82,1444963752379,1444963752915
83,1444963912655,1444963913396
84,1444963946552,1444963947058
85,1444970083140,1444970083171
